address,name,online_order,book_table,rate,rating_clean,votes,location,location_clean,rest_type,primary_rest_type,dish_liked,cuisines,primary_cuisine,approx_cost(for two people),cost_for_two,listed_in(type),listed_in(city),city_clean
"2nd Floor, Ruchitha Complex, Anekal Road, Chandapura, Electronic City, Bangalore",Reddy Restaurant,No,No,3.2/5,3.2,6,Electronic City,Electronic City,Quick Bites,Quick Bites,,South Indian,South Indian,300,300,Dine-out,Electronic City,Electronic City
"Kabirmutt Road, Gavipuram Extension, Basavanagudi, Bangalore",Dakshin Kitchen,Yes,No,3.6/5,3.6,15,Basavanagudi,Basavanagudi,Quick Bites,Quick Bites,,South Indian,South Indian,100,100,Delivery,Basavanagudi,Basavanagudi
"GRS Towers, Near Big Bazaar, Sarjapur Road, Bangalore",Karachi Bakery,Yes,No,3.7/5,3.7,16,Sarjapur Road,Sarjapur Road,Bakery,Bakery,,"Bakery, Desserts",Bakery,400,400,Delivery,Bellandur,Bellandur
"360, 1st Floor, 1st Main, Koramangala 7th Block, Bangalore",Maria's Goan Kitchen,Yes,No,3.9/5,3.9,391,Koramangala 7th Block,Koramangala 7Th Block,Casual Dining,Casual Dining,"Goan Thali, Sol Kadhi, Prawn, Pork Vindaloo, Plain Rice, Fish, Beef Fry","Goan, Chinese, Biryani",Goan,750,750,Delivery,BTM,Btm
"204, Panduranga Nagar, Opposite HSBC, Bannerghatta Road, Bangalore",Coastal Inn,No,No,3.4/5,3.4,66,Bannerghatta Road,Bannerghatta Road,Casual Dining,Casual Dining,"Biryani, Sea Food, Fish Thali","Chinese, North Indian, Seafood",Chinese,800,800,Delivery,Bannerghatta Road,Bannerghatta Road
"3167, Near ESI Hospital, HAL 2nd Stage, Double Road, Indiranagar, Bangalore",Tea Journey,Yes,No,3.8/5,3.8,71,Indiranagar,Indiranagar,Cafe,Cafe,"Ginger Tea, Chai, Pasta, Maggi, Vada Pav, Pizza, Sandwich",Cafe,Cafe,500,500,Delivery,Brigade Road,Brigade Road
"34/2, Gollahalli Village, Hebbagodi, Near TATA BP Solar, Electronic City, Bangalore",Mr. Meetharam,Yes,No,3.3/5,3.3,7,Electronic City,Electronic City,Quick Bites,Quick Bites,,"Mithai, Street Food",Mithai,150,150,Desserts,Electronic City,Electronic City
"15, Ground Floor, 24th Main Road, JP Nagar, Bangalore",Amma's Pastries,No,No,3.6/5,3.6,11,JP Nagar,Jp Nagar,Dessert Parlor,Dessert Parlor,,Desserts,Desserts,400,400,Desserts,Bannerghatta Road,Bannerghatta Road
"1/2, Hosur Road, Opposite Johnson Market, Richmond Road, Bangalore",Fatima Bakery,No,No,3.7/5,3.7,14,Richmond Road,Richmond Road,"Bakery, Quick Bites",Bakery,,"Bakery, Fast Food",Bakery,300,300,Desserts,Brigade Road,Brigade Road
"55, Opposite Jyoti Nivas College, Industrial Layout, Koramangala 5th Block, Bangalore",Indian Coffee House & Restaurant,No,No,4.1/5,4.1,674,Koramangala 5th Block,Koramangala 5Th Block,Casual Dining,Casual Dining,"Buttermilk, Chicken Dosa, Masala Dosa, Filter Coffee, Tea, Chicken Sandwich, Paneer Dosa","South Indian, North Indian, Chinese",South Indian,650,650,Delivery,BTM,Btm
"130, 17th H Main Road, Koramangala 5th Block, Bangalore",Kurtoskalacs,No,No,4.6 /5,4.6,342,Koramangala 5th Block,Koramangala 5Th Block,"Dessert Parlor, Quick Bites",Dessert Parlor,"Hazelnut Cappuccino, Pancakes, Red Velvet Cake, Nutella Shake, Murgh Ghee Roast, Butter Chicken, Chocolate Icecreams","Desserts, Fast Food",Desserts,400,400,Desserts,BTM,Btm
"Shop 19, Ground Floor, Kalpak Arcade, Church Street, Bangalore",Oye Amritsar,Yes,Yes,4.1/5,4.1,450,Church Street,Church Street,Casual Dining,Casual Dining,"Lassi, Aloo Paratha, Jalebi, Palak Paneer, Cheese Naan",North Indian,North Indian,"1,000",1000,Delivery,Brigade Road,Brigade Road
"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore",Spicy Tandoor,No,No,NEW,3.7,0,Banashankari,Banashankari,Quick Bites,Quick Bites,,North Indian,North Indian,150,150,Delivery,Basavanagudi,Basavanagudi
Delivery Only,Hyderabad Biryaani Home,Yes,No,3.0/5,3,137,South Bangalore,South Bangalore,Takeaway,Takeaway,"Chicken, Hyderabadi Biryani, Mutton Biryani","North Indian, Hyderabadi, Chinese",North Indian,650,650,Delivery,Bellandur,Bellandur
"No.808, 7th Cross, BTM 2nd Stage, BTM Layout, BTM, Bangalore",Tandoori Paradise,Yes,No,3.5/5,3.5,8,BTM,Btm,Delivery,Delivery,,"North Indian, Chinese",North Indian,600,600,Delivery,Bannerghatta Road,Bannerghatta Road
"78/5, Sri Gowrikshna Arcade, Behind Central Mall, M.H. Colony, Bellandur, Bangalore",Domino's Pizza,Yes,No,3.6/5,3.6,260,Bellandur,Bellandur,Quick Bites,Quick Bites,"Pizza Burger, Garlic Bread, Chocolava","Pizza, Fast Food",Pizza,800,800,Delivery,Bellandur,Bellandur
"26/2, Dodda Kammanahalli, Bannerghatta Road, Bangalore",Ishta Cafe,Yes,No,3.9/5,3.9,63,Bannerghatta Road,Bannerghatta Road,Quick Bites,Quick Bites,"Burgers, Masala Dosa, Millet Pizza, Falafel Wrap","Pizza, South Indian, Healthy Food",Pizza,200,200,Dine-out,Bannerghatta Road,Bannerghatta Road
"38/3, Opposite Salarpuria Serenity, Mangamannapalya Main Road, Bommanahalli, HSR, Bangalore",Hotel Salam,Yes,No,4.1/5,4.1,127,HSR,Hsr,Quick Bites,Quick Bites,,"North Indian, Chinese, Biryani",North Indian,400,400,Delivery,BTM,Btm
"5th Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",Deja Vu Resto Bar,Yes,Yes,4.4/5,4.4,2493,Bannerghatta Road,Bannerghatta Road,Pub,Pub,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian",North Indian,900,900,Dine-out,BTM,Btm
"142, Sreesai enclave, CKV layout, Marathahalli, Bangalore",Indian Tasty Kitchen,No,No,,3.7,0,Marathahalli,Marathahalli,Quick Bites,Quick Bites,,"South Indian, North Indian, Chinese",South Indian,400,400,Delivery,Brookefield,Brookefield
"46, K.H Road, Opp Bmtc Bus Stand, Shanti Nagar, Bangalore",Take A Break,No,No,3.4/5,3.4,7,Shanti Nagar,Shanti Nagar,Casual Dining,Casual Dining,,North Indian,North Indian,600,600,Delivery,Basavanagudi,Basavanagudi
"579, 11th Cross, 26th A Main, BTM Layout 2nd Stage, BTM, Bangalore",French Bakery,No,No,3.3 /5,3.3,7,BTM,Btm,Delivery,Delivery,,"Desserts, Bakery, Beverages",Desserts,250,250,Desserts,BTM,Btm
"24-26, 414/80/2, Bellandur Village, Varthur Hobli, Outer Ring Road, Bellandur, Bangalore",Punjabi Times,Yes,Yes,4.1/5,4.1,1691,Bellandur,Bellandur,"Casual Dining, Bar",Casual Dining,"Papdi Chaat, Thandai, Chole Bhature, Lassi, Paan Ice Cream, Mutton Curry, Raita",North Indian,North Indian,"1,100",1100,Buffet,Bellandur,Bellandur
"Ground Floor, Devata Plaza, Opposite Bishop Cotton Boys School, Residency Road, Bangalore",Tandoori Platter,No,No,,3.7,0,Residency Road,Residency Road,Quick Bites,Quick Bites,,North Indian,North Indian,450,450,Dine-out,Church Street,Church Street
"296, Ground Floor, 5th Phase, 100 ft Outer Ring Road, JP Nagar, Bangalore",The Cravery,Yes,No,2.6/5,2.6,18,JP Nagar,Jp Nagar,Cafe,Cafe,,"Continental, Burger, Beverages, Cafe, Italian, Rolls",Continental,500,500,Cafes,Bannerghatta Road,Bannerghatta Road
"36, Jaya Bheema Nagar, Layout 1, BTM, Bangalore",La Passion Cafe,Yes,No,,3.7,0,BTM,Btm,Cafe,Cafe,,Cafe,Cafe,500,500,Cafes,BTM,Btm
"32, 80 Feet Road, 4th Block, Koramangala 4th Block, Bangalore",Banjara Melting Pot,Yes,Yes,4.2/5,4.2,767,Koramangala 4th Block,Koramangala 4Th Block,Casual Dining,Casual Dining,"Mocktails, Dal Tadka, Paneer Lababdar, Stuffed Kulcha, Vegetable Biryani, Sea Food, Wine","North Indian, Chinese, Seafood",North Indian,"1,700",1700,Delivery,BTM,Btm
"29, 7th Cross Road, Bhavani Nagar, Suddagunte Palya, BTM, Bangalore",Mycakeshop,Yes,No,,3.7,0,BTM,Btm,Bakery,Bakery,,"Bakery, Desserts",Bakery,300,300,Desserts,BTM,Btm
"42, First Floor, 1st Main Road, Koramangala 1st Block, Bangalore",Aata's Kitchen,Yes,No,NEW,3.7,0,Koramangala 1st Block,Koramangala 1St Block,Quick Bites,Quick Bites,,"South Indian, North Indian",South Indian,250,250,Delivery,BTM,Btm
"9/10/9 2nd Floor, Opposite SBI Bank, DLF Road, Bhagyalakshmi Avenue, Bannerghatta Road, Bangalore",Halli Sogasu,No,No,3.0/5,3,15,Bannerghatta Road,Bannerghatta Road,Casual Dining,Casual Dining,,"South Indian, Andhra",South Indian,600,600,Delivery,Bannerghatta Road,Bannerghatta Road
"105, Royal View Building, Nawab Hydaralli Khan Road, Near Ayyappa Swamy Temple, City Market, Bangalore",Emerald Green,No,No,,3.7,0,City Market,City Market,Casual Dining,Casual Dining,,South Indian,South Indian,600,600,Dine-out,Basavanagudi,Basavanagudi
"Shop L 189, Near Silk Board Junction, Sector 6th, HSR, Bangalore",Yo! Thali,Yes,No,,3.7,0,HSR,Hsr,Quick Bites,Quick Bites,,"North Indian, South Indian, Chinese",North Indian,400,400,Delivery,BTM,Btm
"Kitchens@, 1st Floor Skywards Sun Park, Neeladri Road, Karuna Nagar, Phase 1, Electronic City, Bangalore",Beijing Bites,Yes,No,NEW,3.7,0,Electronic City,Electronic City,"Takeaway, Delivery",Takeaway,,"Chinese, Thai, Momos",Chinese,400,400,Delivery,Electronic City,Electronic City
"14, B Wing Mittal Tower, MG Road, Bangalore",Bhaiyaji Food Court,No,No,3.4/5,3.4,27,MG Road,Mg Road,Quick Bites,Quick Bites,"Paratha, Samosa, Vada Pav","North Indian, Mithai",North Indian,300,300,Desserts,Brigade Road,Brigade Road
"01, 100 Feet Ring Road, 1st Phase, BTM 2nd stage, Bangalore",Watheen Nuts,No,No,,3.7,0,BTM,Btm,"Takeaway, Delivery",Takeaway,,Desserts,Desserts,400,400,Delivery,BTM,Btm
"503, A Block, Jahnavi Shelters, 9th Cross, Yellenahalli Bus Stop, Akshay Nagar, Bannerghatta Road, Bangalore",Sheer Kurma,No,No,,3.7,0,Bannerghatta Road,Bannerghatta Road,Quick Bites,Quick Bites,,Desserts,Desserts,300,300,Delivery,Bannerghatta Road,Bannerghatta Road
"90/66, 1st Floor, Gandhi Bazar Main Road, Basavanagudi, Bangalore",Onesta,Yes,Yes,4.6/5,4.6,1755,Basavanagudi,Basavanagudi,"Casual Dining, Cafe",Casual Dining,"Barbeque Chicken Pizza, Mushroom Ravioli, Pasta, Lasagne, Berryblast, Mocktails, Potato Wedges","Pizza, Cafe, Italian",Pizza,600,600,Dine-out,Basavanagudi,Basavanagudi
"28, 4th B Cross, Koramangala 5th Block, Bangalore",Tella Tales,Yes,No,4.2/5,4.2,413,Koramangala 5th Block,Koramangala 5Th Block,Cafe,Cafe,"Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries","Cafe, Desserts, Beverages",Cafe,700,700,Cafes,BTM,Btm
"4, 39/1, St Mary's Building, 2nd Stage, Indiranagar, Bangalore",YumYumSouth,Yes,No,3.5/5,3.5,38,Indiranagar,Indiranagar,Delivery,Delivery,,South Indian,South Indian,600,600,Delivery,Church Street,Church Street
"1478/1, 18th Main, 40th Cross, 4th T Block, Jayanagar, Bangalore",Tummy Fuel,Yes,No,4.2/5,4.2,450,Jayanagar,Jayanagar,Cafe,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",Cafe,400,400,Delivery,BTM,Btm
"Shop 121, Shantiniketan Road, Venugopal Reddy Layout, Arekere, Bannerghatta Road, Bangalore",Priyadharshini Hotel,No,No,NEW,3.7,0,Bannerghatta Road,Bannerghatta Road,Quick Bites,Quick Bites,,"North Indian, South Indian, Chinese",North Indian,200,200,Dine-out,Bannerghatta Road,Bannerghatta Road
"Near Lakshimi Narasama Swami Temple, Doddathogur, Electronic City, Bangalore",Sahaja Foods,No,No,,3.7,0,Electronic City,Electronic City,Quick Bites,Quick Bites,,South Indian,South Indian,150,150,Dine-out,Electronic City,Electronic City
"39/3 & 44, Food Parade, Spar Hyper Market, Near Dairy Circle, Bannerghatta Road, Bangalore",Food Prade Dairy Delight,No,No,,3.7,0,Bannerghatta Road,Bannerghatta Road,Dessert Parlor,Dessert Parlor,,Desserts,Desserts,300,300,Desserts,Bannerghatta Road,Bannerghatta Road
"Vega City, Dollars Colony, Bannerghatta Road, Bangalore",Starbucks,No,No,3.9/5,3.9,52,Bannerghatta Road,Bannerghatta Road,Cafe,Cafe,,"Cafe, Desserts",Cafe,700,700,Dine-out,Bannerghatta Road,Bannerghatta Road
"O 806, Prestige Acropolis, Koramangala 7th Block, Bangalore",Baking Delite,No,No,,3.7,0,Koramangala 7th Block,Koramangala 7Th Block,"Takeaway, Delivery",Takeaway,,Desserts,Desserts,550,550,Delivery,BTM,Btm
"1107, R.V.Dental College Road, 24th Main, 1st Phase, JP Nagar, Bangalore",Mockaholic Restro Beer Cafe,Yes,No,3.9/5,3.9,914,JP Nagar,Jp Nagar,Bar,Bar,"Beer, Momos, Pizza, Coffee, Dragon Chicken, Hot Pot, Mocktails","North Indian, Chinese, Pizza, BBQ",North Indian,"1,000",1000,Delivery,BTM,Btm
"6/6, Sadasiva Mudaliar Road, Near-Adrsha Theatre, Ulsoor, Bangalore",Gandharva Bakery and Sweets,No,No,,3.7,0,Ulsoor,Ulsoor,Bakery,Bakery,,Bakery,Bakery,400,400,Desserts,Brigade Road,Brigade Road
"30, Magrath Road, Brigade Road, Bangalore",Nawab's Kolkatta Roll,Yes,No,3.4/5,3.4,4,Brigade Road,Brigade Road,Kiosk,Kiosk,,"Street Food, Rolls",Street Food,150,150,Delivery,Brigade Road,Brigade Road
"5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore","3B's - Buddies, Bar & Barbecues",No,Yes,4.4/5,4.4,1154,BTM,Btm,"Casual Dining, Bar",Casual Dining,"Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ",North Indian,"1,100",1100,Pubs and bars,BTM,Btm
"104, Vijay Jatti Building, Industrial Area, Koramangala 5th Block, Bangalore",Ulavacharu,Yes,Yes,NEW,3.7,0,Koramangala 5th Block,Koramangala 5Th Block,Casual Dining,Casual Dining,"Ulavacharu, Biryani, Bangla Kodi, Rajugari Kodi Pulao, Curd Rice, Gadwal Kodi Pulao, Plain Rice","Andhra, North Indian, Chinese",Andhra,900,900,Dine-out,BTM,Btm
"207, Green Glen Layout, Opposite M.K. Ahmed Super Market, Bellandur, Bangalore",Murli,Yes,No,3.9/5,3.9,1233,Bellandur,Bellandur,Casual Dining,Casual Dining,"Chole Bhature, Chaat, Paneer Tikka, Jalebi, Samosa Chat, Rasmalai, Rabri","North Indian, Chinese, Street Food, Fast Food, Mithai",North Indian,500,500,Desserts,Bellandur,Bellandur
"106/729, 80 Feet Road, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",New Quality Dum Biryani,No,No,3.1/5,3.1,9,Banashankari,Banashankari,Quick Bites,Quick Bites,,Biryani,Biryani,200,200,Dine-out,Banashankari,Banashankari
"91, General KS Thimayya Road, KSRTC Layout, Srinivas Colony, Sampangi Rama Nagar, Shanti Nagar, Bangalore",Ambur Hot Dum Biryani,No,No,3.1/5,3.1,6,Shanti Nagar,Shanti Nagar,Quick Bites,Quick Bites,,"Biryani, Kebab",Biryani,250,250,Dine-out,Brigade Road,Brigade Road
"33, 20th A Main, 13th Cross, Venkateshwara Layout, 1st Stage, BTM, Bangalore",Sri Durga Cane Fresh,No,No,3.4/5,3.4,5,BTM,Btm,Beverage Shop,Beverage Shop,,"Juices, Beverages, Fast Food",Juices,100,100,Dine-out,BTM,Btm
"Level 5, 1 MG Mall, Swami Vivekananda Road, Trinity Circle, MG Road, Bangalore",CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,Yes,Yes,4.4/5,4.4,693,MG Road,Mg Road,"Casual Dining, Cafe",Casual Dining,"Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Salad","American, Cafe, Continental",American,"1,700",1700,Dine-out,Church Street,Church Street
"1313, Near Bangalore Central Mall, 25th Main, 9th Block, Jayanagar, Bangalore",Shanmukha,Yes,No,4.4/5,4.4,1944,Jayanagar,Jayanagar,Casual Dining,Casual Dining,"Egg Biryani, Egg Chilli, Mutton Biryani, Hyderabadi Biryani, Naan, Raita, Butter Chicken","Biryani, Andhra, North Indian, Chinese",Biryani,800,800,Dine-out,BTM,Btm
"Number 48/58, Kothnur Main Road, Next to Indian Oil Petrol Bunk, JP Nagar, JP Nagar, Bangalore",New Nandan Family Restaurant,No,No,,3.7,0,JP Nagar,Jp Nagar,Quick Bites,Quick Bites,,"Biryani, Chinese, Hyderabadi, Kebab",Biryani,300,300,Dine-out,Bannerghatta Road,Bannerghatta Road
"1st Floor, St.Patricks Complex, Brigade Road, Bangalore",Smokie Brownie,No,No,3.2/5,3.2,7,Brigade Road,Brigade Road,Cafe,Cafe,,Cafe,Cafe,600,600,Delivery,Church Street,Church Street
"10-11, 7th Cross, BHEL Layout, SRK Garden, Jayanagar, Bangalore",All Aromas,Yes,No,NEW,3.7,0,Jayanagar,Jayanagar,Quick Bites,Quick Bites,,"North Indian, Biryani",North Indian,400,400,Delivery,BTM,Btm
"28, Centenary Building, MG Road, Bangalore",Tandoor Da Funda,No,No,3.6/5,3.6,15,MG Road,Mg Road,Quick Bites,Quick Bites,,North Indian,North Indian,350,350,Delivery,Church Street,Church Street
"18, Prakruthi Enclave, Panathur Road, Kadubeesanahalli, Marathahalli, Bangalore",Shri Vishnu Grand,Yes,No,3.0/5,3,139,Marathahalli,Marathahalli,Casual Dining,Casual Dining,"Rava Idli, Tea, Coffee, Rava Dosa, Biryani, Masala Dosa, Pav Bhaji","North Indian, South Indian, Chinese",North Indian,450,450,Delivery,Bellandur,Bellandur
"20/4, 2nd Cross, Magrath Road, Brigade Road, Bangalore",Rolls Corner,No,No,,3.7,0,Brigade Road,Brigade Road,Quick Bites,Quick Bites,,"Chinese, Fast Food",Chinese,300,300,Dine-out,Church Street,Church Street
"104, 1st Cross, 20th Main, Maruthi Nagar Main Road, 1st Stage, BTM, Bangalore",Smoothie Hub,No,No,,3.7,0,BTM,Btm,"Beverage Shop, Quick Bites",Beverage Shop,,"Beverages, Fast Food",Beverages,400,400,Dine-out,BTM,Btm
"346, A.E.C.S layout kundalahally, Near Bank Of India, Brookefield, Bangalore",Jagannath Mess,No,No,NEW,3.7,0,Brookefield,Brookefield,Mess,Mess,,"Andhra, North Indian, South Indian",Andhra,300,300,Delivery,Brookefield,Brookefield
"Manpho Pavilion, Ranka Colony Road, Bilekahalli, Bannerghatta Road",Kopper Pot,No,No,,3.7,0,Bannerghatta Road,Bannerghatta Road,Bakery,Bakery,,Bakery,Bakery,500,500,Delivery,Bannerghatta Road,Bannerghatta Road
"242, 7th Main, Mico Layout, BTM, Bangalore",Indian Kitchen Eateries-IKE,Yes,No,3.4/5,3.4,8,BTM,Btm,Quick Bites,Quick Bites,,Fast Food,Fast Food,150,150,Dine-out,BTM,Btm
"284, 1St Main, 1St Cross, Munnekollala Last Bus Stop, Near Andhra Bank, Bangalore",Sangam Sweets,Yes,No,NEW,3.7,0,Marathahalli,Marathahalli,Sweet Shop,Sweet Shop,,"Mithai, Street Food",Mithai,200,200,Dine-out,Brookefield,Brookefield
"Arakere Gate, Next to HSBC, Opposite Reliance Mart, Bannerghatta Road, Bangalore",Hyderabad Biryaani House,Yes,No,3.6/5,3.6,794,Bannerghatta Road,Bannerghatta Road,Casual Dining,Casual Dining,"Hyderabadi Biryani, Chicken Biryani, Raita, Mutton Biryani, Vegetable Biryani, Butter Chicken, Basmati Rice","Biryani, North Indian, Chinese",Biryani,550,550,Delivery,Bannerghatta Road,Bannerghatta Road
"27, Gandhi Bazaar Main Rd, Basavanagudi, Bangalore",Just Thindi,Yes,No,3.6/5,3.6,16,Basavanagudi,Basavanagudi,Quick Bites,Quick Bites,,South Indian,South Indian,200,200,Delivery,Basavanagudi,Basavanagudi
"37/10, Opposite Fortis Hospital, Cunningham Road, Bangalore",New Prashanth Naati Style,No,No,3.8/5,3.8,29,Cunningham Road,Cunningham Road,Casual Dining,Casual Dining,,"South Indian, Biryani",South Indian,400,400,Delivery,Brigade Road,Brigade Road
"80, 2nd Main,1st Cross, 2nd Stage, BTM, Bangalore",Brewz Coffee,Yes,No,3.0/5,3,61,BTM,Btm,Cafe,Cafe,"Coffee, Sandwiches, Cappuccino",Cafe,Cafe,650,650,Delivery,Bannerghatta Road,Bannerghatta Road
"B120, Near SJR I Park, Whitefield, Bangalore",Quality Eat,Yes,No,,3.7,0,Whitefield,Whitefield,Casual Dining,Casual Dining,,South Indian,South Indian,400,400,Dine-out,Brookefield,Brookefield
"15, 1st Main, Kariyappa Road, Basavanagudi, Bangalore",Curry Leaves,Yes,No,4.1/5,4.1,176,Basavanagudi,Basavanagudi,Casual Dining,Casual Dining,"Brownie, Mojito, Prawn Ghee Roast, Corn Tikki, Mushroom Ghee Roast, Pinacolada, Biryani","Andhra, North Indian, Chinese",Andhra,800,800,Delivery,Banashankari,Banashankari
"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",Parimala Sweets,No,No,3.5/5,3.5,14,Banashankari,Banashankari,Sweet Shop,Sweet Shop,,"Mithai, Street Food",Mithai,200,200,Delivery,Basavanagudi,Basavanagudi
"Ground Floor, 21, Krishnama Raju Layout, Near Oracle Dorasani Palya, JP Nagar, Bangalore",More Pizza,Yes,No,3.8/5,3.8,46,JP Nagar,Jp Nagar,Quick Bites,Quick Bites,"Pizza, Garlic Bread, Chicken Lasagne",Pizza,Pizza,450,450,Delivery,BTM,Btm
"58, Ground Floor, 7th Block, Raheja Arcade, Koramangala 7th Block, Bangalore",Tata Cha,Yes,No,3.7/5,3.7,31,Koramangala 7th Block,Koramangala 7Th Block,Cafe,Cafe,,"Cafe, Tea, North Indian",Cafe,500,500,Delivery,BTM,Btm
"39, 3rd A Cross, 25th Main, BTM Layout, 2nd Stage, Roopa Nagar, Rashtrakavi Kuvempu Nagar, Bangalore",Biriyani Bhatti,Yes,No,3.7/5,3.7,21,BTM,Btm,Quick Bites,Quick Bites,,"Chinese, Hyderabadi, North Indian",Chinese,400,400,Dine-out,BTM,Btm
"692, 12th Cross, 7th Block Kankapura Main Road, Banashankari, Bangalore",Sri Basaveshwar Jolada Rotti Oota,No,No,,3.7,0,Banashankari,Banashankari,Quick Bites,Quick Bites,,South Indian,South Indian,150,150,Dine-out,Banashankari,Banashankari
"155, 43rd Cross Road, 8th Block, Jayanagar, Bangalore",Sri Udupi Food Hub,Yes,Yes,4.1/5,4.1,175,Jayanagar,Jayanagar,Casual Dining,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",South Indian,500,500,Delivery,Basavanagudi,Basavanagudi
"Jupiter Block, Prestige Tech Park, Outer Ring Road, Marathahalli, Bangalore",Baker's Cafe,Yes,No,3.5/5,3.5,8,Marathahalli,Marathahalli,Bakery,Bakery,,"Bakery, Desserts",Bakery,200,200,Delivery,Bellandur,Bellandur
"95, Opposite Vydehi Hospital, EPIP Area, Whitefield, Bangalore",Creamiester,No,No,,3.7,0,Whitefield,Whitefield,Dessert Parlor,Dessert Parlor,,"Ice Cream, Desserts",Ice Cream,300,300,Desserts,Brookefield,Brookefield
"Near Big Bazar, Double Road, Shanti Nagar, Bangalore",Swathi Deluxe Restaurant,Yes,No,3.0/5,3,74,Shanti Nagar,Shanti Nagar,Casual Dining,Casual Dining,"Biryani, Chicken Kebab, Andhra Meal, Lime Soda",North Indian,North Indian,500,500,Delivery,Church Street,Church Street
"126, 2nd D main, Adugodi Main Road, Koramangala 8th Block, Bangalore",Forum Bakes & Cafe,Yes,No,,3.7,0,Koramangala 8th Block,Koramangala 8Th Block,"Bakery, Quick Bites",Bakery,,"Bakery, Fast Food",Bakery,200,200,Delivery,Brigade Road,Brigade Road
Delivery Only,Burger Garden,Yes,No,3.4/5,3.4,7,South Bangalore,South Bangalore,Delivery,Delivery,,"Fast Food, Burger, Desserts, Cafe",Fast Food,300,300,Cafes,BTM,Btm
